Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-08-18,I Want to Eat Your Pancreas,2018,https://boxd.it/24KYOT,1.5,,"Saw someone on tiktok crying HARD at this movie so I was ready for this to be the next <i>Your Name</i> or <i>Kimi no na wa</i>. . Then I realized nothing will b the next Kimi no na wa.

Predictable and reminded me of the movie <i>Then Came You</i>, but <i>Then Came You</i> took itself a lot less seriously. Since <i>Then Came You </i>wasn’t trying to force you to care about the characters and their “struggles” it made it a much more enjoyable watch while THIS was definitely trying to make me feel bad for the main character guy when he really was just a boring piece of plywood. 

If this was a live action it definitely would not have this high a rating, but alas anime does make everything look and seem better",joanna,2021-08-17
2021-09-22,The Squid and the Whale,2005,https://boxd.it/29zuCr,4.5,,"The first movie Jesse Eisenberg acted in that has now type casted him as the anal know-it-all

I'm not usually a person that notices great acting and don't even have a favorite actor that comes to mind, but the characters here were so unbelievably annoying that it was hard to step back and realize that this wasn't a real family I was spying on. 

Noah Baumbach creating this AND marriage story is crazy and it goes to show how introspective his story telling is. 

I personally would have liked the squid and the whale metaphor to be a little more fleshed out just because I believe that the rest of the movie was SO good that the reference at the end was a little malnourished? Lacking.","jesse eisenberg, noah baumbach, hotdog3",2021-09-21
2021-10-20,The Girl from Hunan,1988,https://boxd.it/2dGGuT,3,,"Only 7 reviews? Yeah I only watch REAL underground films

I feel like this movie could have DEFINITELY been shorter and by the end of it, I didn’t even feel connected to any of the characters except Chun Guan the “brother.” I knew Hua Goa was a deadbeat when the first thing he thought when seeing Xiao Xiao was her boobs, Xiao Xiao was a boring protagonist all she did was accept her fate as a nanny to bring her husband which understandable cultural conformity but 🥱, and the village ppl were boring as well. 

Only reason why I’m giving this a 3 instead of a 2 is because this was made a while ago, and old movies are known to suck anyways. Wes Anderson once said “Anything made before The Social Network can be tossed 🗑.”",,2021-10-19
2021-10-23,Panic Room,2002,https://boxd.it/2eabDZ,3,,"The scenes where they thought screaming for help in the panic room made me LOL But all in all I would have not been able to survive this escape room puzzle, 4 key room difficulty","david fincher, hotdog3",2021-10-22
2021-10-27,Squid Game,2021,https://boxd.it/2eK6fZ,5,,"It’s as if the hunger games kids reunited once again in spirit to watch this only that it was way better and there wasn’t a stupid Peeta.


The only lesson I got from this show was that I would die INSTANTLY unless there was a squid games for ipad kids, and I can count every street alley game I’ve ever played in one hand.


How would a deadly game of hopscotch look",,2021-10-26
2021-11-14,Please Stand By,2017,https://boxd.it/2hFygX,,,"Did not finish, so this review = in conclusive. I think her pretend movie script was more interesting than the actual movie.",,2021-11-13
2021-11-14,All Too Well: The Short Film,2021,https://boxd.it/2hFA9p,5,,It served its purpose.,,2021-11-13
2021-11-25,Kids,1995,https://boxd.it/2jjvnl,0.5,,"Literal shit is what this movie is. I thought I hated Harmony Korine after watching half of Gummo and now can say that I definitely hate at least one of his movies in full length. 

Watching this did not feel like a 'scope into the lives of NY street kids' but more like 'how am I going to root for Jennie for the whole movie and nothing but BAD things are going to happen to her???' Any hope that you have for this movie DIES. 

How is it that this is movie supposed to be a conversation about teenage unprotected sex and HIV when our antagonist is getting more screentime for his dumb sex escapades than our protagonist??? Face it: Larry Clark was more interested in filming Telly getting it on with a 13-year-old girl than any lesson that Jennie was trying to learn from all this.

The only interesting scene here was the girls vs guys sex talk, after that is just prepubescent porn and major sexual assault cases happening. Things that are disturbing just for the sake of being disturbing is all Harmony Korine is good for. 

The ethics in this movie are also quite concerning since Casper did some major method acting in this film (someone who was never a real actor to begin with and literally lived this story) While Casper or Justin Pierce has full autonomy of his actions and no one else, it makes watching this just so uncomfortable and people that enjoyed this movie questionable.","harmony korine, chloe sevigny",2021-11-24
2021-11-25,Spring Breakers,2012,https://boxd.it/2jkGAd,1,,"Never have I ever!!! picked up my phone so much during a movie and out of all harmony Korine movies, I didn’t expect spring breakers to be the most boring one. 

The premise was so lost within this movie (girls going to the dark side in order to continue partying and ignoring their wasted life + potential) because I thought I’d see the most character development and story in here, but all it did was let me down. 

Way too many threesome scenes to actually keep the story going, what a shameless wanker that Korine is.

This is one of Korine’s least fan’s favorite movies but after watching his fan’s most favorite (KIDS), I think they only hated this movie cause it didn’t have enough ambiguous empty space for them to interpret whatever crap they wanted to take away from it. This movie really just spells everything out for you, one of the most brain-dead scripts ever like how many times can they say “mother fucker” before I start believing it’s not a real word. So cringe.",harmony korine,2021-11-24
2021-11-27,Gummo,1997,https://boxd.it/2jAPM5,1,,"The ending was kinda beautiful (minus the dead cat), I liked the ending song. 

This film was less harmful than Kids and more interesting than Spring Breakers, so sure! this one is probably the best one that I like out of Harmony Korine's set even though I definitely spaced out after the 1-hour mark. 

Repetitive, boring scenes. The thing is that the dialogue doesn't match up with whatever message Korine is trying to send, therefore I can never find anything deep within Korine's movies/films. Just because you get white people to use the n-word and film it on a kodak camera doesn't mean that it ""so raw and authentic and genuine."" Alas, for someone that was clearly spiraling behind the scenes with his own issues.. this is a fine end result. 

The only scenes that evoked any emotion in me were the sisters defending their other sister from the old pervert in the car and the spaghetti bathtub scene (when his crunch bar fell in that bathtub, I wanted to end my life right there).","chloe sevigny, harmony korine",2021-11-26
