Date,Name,Year,Letterboxd URI
2022-07-06,A Raisin in the Sun,1961,https://boxd.it/1now
2022-07-12,Turning Red,2022,https://boxd.it/ipkq
2022-07-13,Loving Vincent,2017,https://boxd.it/biIQ
2022-07-13,Hot Girls Wanted,2015,https://boxd.it/aitE
2022-07-15,Scenes from a Marriage,1974,https://boxd.it/4kJC
2022-07-17,The Farewell,2019,https://boxd.it/kIky
2022-07-21,La Strada,1954,https://boxd.it/2asi
2022-07-24,Nope,2022,https://boxd.it/sDCe
2022-07-26,Dear Evan Hansen,2021,https://boxd.it/kOP8
2022-07-31,School of Rock,2003,https://boxd.it/28xK
2022-08-04,Penelope,2006,https://boxd.it/20HW
2022-08-06,Get Out,2017,https://boxd.it/eOCm
2022-08-15,Swiss Army Man,2016,https://boxd.it/bDG2
2022-08-16,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2022-09-11,Superbad,2007,https://boxd.it/20hO
2022-09-26,Inequality for All,2013,https://boxd.it/4Ynm
2022-10-15,TÁR,2022,https://boxd.it/uNIA
2022-10-17,Life and Debt,2001,https://boxd.it/1DJU
2022-10-23,The Prince & Me,2004,https://boxd.it/1UxQ
2022-11-01,American Promise,2013,https://boxd.it/4YlK
2022-11-01,Enron: The Smartest Guys in the Room,2005,https://boxd.it/1R0k
2022-11-05,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2022-11-10,The True Cost,2015,https://boxd.it/bgtO
2022-11-21,The Last Song,2010,https://boxd.it/1c5I
2022-11-23,Bones and All,2022,https://boxd.it/tLd4
2022-11-24,The Menu,2022,https://boxd.it/lScm
2022-12-03,Atonement,2007,https://boxd.it/24ui
2022-12-06,God Forbid: The Sex Scandal That Brought Down a Dynasty,2022,https://boxd.it/CtPC
2022-12-07,Keep This Between Us,2022,https://boxd.it/CDBg
2022-12-09,Beautiful Boy,2018,https://boxd.it/g76Q
2022-12-10,Whiplash,2014,https://boxd.it/7bQA
2022-12-13,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2022-12-22,Chungking Express,1994,https://boxd.it/1UDa
2022-12-25,Dead Asleep,2021,https://boxd.it/y0Cw
2022-12-30,Little Women,2019,https://boxd.it/aSVk
2023-01-05,Glass Onion,2022,https://boxd.it/oCkK
2023-01-06,The Thinning,2016,https://boxd.it/eOK6
2023-01-12,Babylon,2022,https://boxd.it/mM02
2023-01-28,Meshes of the Afternoon,1943,https://boxd.it/1sEE
2023-01-30,The King of Staten Island,2020,https://boxd.it/litG
2023-03-17,WALL·E,2008,https://boxd.it/1VEo
2023-04-04,Fight Club,1999,https://boxd.it/2a9q
2023-04-09,Pearl,2022,https://boxd.it/zPbe
2023-04-23,BEEF,2023,https://boxd.it/FPsm
2023-04-29,Into the Deep: The Submarine Murder Case,2020,https://boxd.it/oii0
2023-05-23,Boiling Point,2021,https://boxd.it/uo2u
2023-06-05,La La Land,2016,https://boxd.it/a5fa
2023-06-05,Where the Crawdads Sing,2022,https://boxd.it/psLS
2023-06-05,Missing,2023,https://boxd.it/sS1W
2023-06-09,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2023-06-11,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-06-11,Dirty Grandpa,2016,https://boxd.it/99pG
2023-06-15,Past Lives,2023,https://boxd.it/oNB8
2023-06-18,The Purge: Anarchy,2014,https://boxd.it/71zk
2023-07-02,No Hard Feelings,2023,https://boxd.it/xouu
2023-07-21,Barbie,2023,https://boxd.it/bCLK
2023-08-04,Talk to Me,2022,https://boxd.it/C6uQ
2023-08-05,Oppenheimer,2023,https://boxd.it/wUow
2023-08-13,Dune,2021,https://boxd.it/fA7G
2023-08-13,Whoopi Goldberg: Direct from Broadway,1985,https://boxd.it/2KrK
2023-08-14,Bama Rush,2023,https://boxd.it/DRTK
2023-08-26,Rango,2011,https://boxd.it/QPk
2023-08-28,Theater Camp,2023,https://boxd.it/Bfbm
2023-08-28,Passages,2023,https://boxd.it/xX9c
2023-09-06,The Whale,2022,https://boxd.it/tw4c
2023-09-13,Bottoms,2023,https://boxd.it/uGf2
2023-09-16,12 Angry Men,1957,https://boxd.it/2auI
2023-09-17,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2023-09-18,"I, Tonya",2017,https://boxd.it/dzR0
2023-09-26,Shiva Baby,2020,https://boxd.it/oIv0
2023-10-02,The Half of It,2020,https://boxd.it/m0T4
2023-10-12,Elemental,2023,https://boxd.it/ASiE
2023-10-16,Friday the 13th,1980,https://boxd.it/24fs
2023-10-17,Encanto,2021,https://boxd.it/kPRu
2023-11-02,M3GAN,2022,https://boxd.it/jxmG
2023-11-05,Close,2022,https://boxd.it/y4qa
2023-11-05,Priscilla,2023,https://boxd.it/Cz3k
2023-11-11,Inside Out,2015,https://boxd.it/4KHC
2023-11-12,Hamilton,2020,https://boxd.it/kmvE
2023-11-15,Big Hero 6,2014,https://boxd.it/5rje
2023-11-24,Juno,2007,https://boxd.it/210a
2023-12-20,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK
2023-12-20,Elf,2003,https://boxd.it/1VyK
2023-12-25,Parasite,2019,https://boxd.it/hTha
2023-12-26,Kicking and Screaming,1995,https://boxd.it/1pHK
2023-12-31,Slumdog Millionaire,2008,https://boxd.it/1S3E
2024-01-10,Saltburn,2023,https://boxd.it/z4eg
2024-01-22,Poor Things,2023,https://boxd.it/tNWU
2024-02-11,Anyone But You,2023,https://boxd.it/EzA8
