Date,Name,Year,Letterboxd URI,Rating
2023-06-05,Where the Crawdads Sing,2022,https://boxd.it/psLS,1
2023-06-05,Missing,2023,https://boxd.it/sS1W,3.5
2023-06-09,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2023-06-11,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2023-06-11,Dirty Grandpa,2016,https://boxd.it/99pG,1
2023-06-15,Past Lives,2023,https://boxd.it/oNB8,3.5
2023-06-18,The Purge: Anarchy,2014,https://boxd.it/71zk,1.5
2023-07-02,No Hard Feelings,2023,https://boxd.it/xouu,4.5
2023-08-05,Oppenheimer,2023,https://boxd.it/wUow,3
2023-08-13,Dune,2021,https://boxd.it/fA7G,2.5
2023-08-13,Whoopi Goldberg: Direct from Broadway,1985,https://boxd.it/2KrK,5
2023-08-14,Bama Rush,2023,https://boxd.it/DRTK,3
2023-08-26,Rango,2011,https://boxd.it/QPk,4
2023-08-28,Theater Camp,2023,https://boxd.it/Bfbm,5
2023-08-29,Passages,2023,https://boxd.it/xX9c,0.5
2023-09-06,The Whale,2022,https://boxd.it/tw4c,4
2023-09-13,Bottoms,2023,https://boxd.it/uGf2,4.5
2023-09-16,12 Angry Men,1957,https://boxd.it/2auI,5
2023-09-17,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3
2023-09-18,"I, Tonya",2017,https://boxd.it/dzR0,5
2023-09-26,Shiva Baby,2020,https://boxd.it/oIv0,3
2023-10-12,Elemental,2023,https://boxd.it/ASiE,3
2023-10-17,Encanto,2021,https://boxd.it/kPRu,4
2023-11-02,M3GAN,2022,https://boxd.it/jxmG,3.5
2023-11-05,Priscilla,2023,https://boxd.it/Cz3k,3
2023-11-06,Close,2022,https://boxd.it/y4qa,4
2023-11-11,Inside Out,2015,https://boxd.it/4KHC,5
2023-11-14,Oldboy,2003,https://boxd.it/29R2,5
2023-11-15,Big Hero 6,2014,https://boxd.it/5rje,2
2023-11-24,Juno,2007,https://boxd.it/210a,4
2023-12-20,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK,4
2023-12-20,Talk to Me,2022,https://boxd.it/C6uQ,5
2023-12-20,Elf,2003,https://boxd.it/1VyK,3
2023-12-25,Parasite,2019,https://boxd.it/hTha,5
2023-12-26,Kicking and Screaming,1995,https://boxd.it/1pHK,4
2023-12-31,Slumdog Millionaire,2008,https://boxd.it/1S3E,4
2024-01-10,Saltburn,2023,https://boxd.it/z4eg,4
2024-01-22,Poor Things,2023,https://boxd.it/tNWU,4
